Ref,Val,Package,PosX,PosY,Rot,Side
"","","",10.000000,48.000000,0.000000,top
"","","",36.000000,25.500000,0.000000,top
"","","",36.000000,48.000000,0.000000,top
"C1","0.1u","C_0402_1005Metric",22.274000,22.000000,0.000000,top
"C3","1u","C_0603_1608Metric",-0.500000,19.000000,90.000000,top
"C4","2u2","C_0603_1608Metric",8.500000,19.000000,90.000000,top
"C7","2u2","C_0603_1608Metric",21.274000,23.335000,0.000000,top
"C10","10n","C_0201_0603Metric",21.774000,20.655000,90.000000,top
"C29","100n","C_0603_1608Metric",21.500000,31.000000,90.000000,top
"C31","4n7","C_0603_1608Metric",30.500000,36.000000,180.000000,top
"C200","4u7","C_0603_1608Metric",6.725000,40.425000,180.000000,top
"C201","100n","C_0402_1005Metric",6.250000,36.905000,90.000000,top
"C202","100n","C_0402_1005Metric",11.000000,25.500000,180.000000,top
"C203","100n","C_0402_1005Metric",20.500000,27.000000,0.000000,top
"C204","100n","C_0402_1005Metric",21.500000,37.250000,90.000000,top
"C205","100n","C_0402_1005Metric",9.480000,40.425000,0.000000,top
"C206","1u","C_0402_1005Metric",5.250000,30.925000,90.000000,top
"C207","10n","C_0402_1005Metric",6.750000,30.925000,90.000000,top
"C208","2u2","C_0603_1608Metric",18.000000,24.750000,0.000000,top
"C209","2u2","C_0603_1608Metric",24.000000,36.750000,90.000000,top
"C210","12p","C_0402_1005Metric",3.250000,37.425000,0.000000,top
"C211","12p","C_0402_1005Metric",3.250000,31.425000,180.000000,top
"C400","100n","C_0402_1005Metric",21.500000,44.250000,-90.000000,top
"D3","LED","LED_0402_1005Metric",35.500000,42.545000,-90.000000,top
"D4","LED","LED_0402_1005Metric",33.500000,42.545000,-90.000000,top
"D5","LED","LED_0402_1005Metric",-0.500000,26.015000,90.000000,top
"FB200","600 @ 600 MHz","L_0805_2012Metric",3.250000,28.925000,180.000000,top
"J1","CAN","PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Right",35.125000,31.500000,180.000000,top
"J2","USART","PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Right",14.500000,16.500000,180.000000,top
"J3","2171750001","molex_2171750001_usb_c_6p",31.500000,17.710000,0.000000,top
"J401","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",26.450000,44.250000,180.000000,top
"R1","5k1","R_0603_1608Metric",33.500000,22.790000,0.000000,top
"R2","5k1","R_0603_1608Metric",29.500000,22.790000,180.000000,top
"R9","10k","R_0603_1608Metric",17.675000,43.500000,180.000000,top
"R13","330R","R_0402_1005Metric",35.500000,40.430000,90.000000,top
"R14","330R","R_0402_1005Metric",33.500000,40.430000,90.000000,top
"R19","60R","R_0603_1608Metric",30.500000,33.000000,90.000000,top
"R20","60R","R_0603_1608Metric",32.000000,33.000000,90.000000,top
"R23","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.000000,43.425000,-90.000000,top
"R24","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",13.000000,43.425000,-90.000000,top
"R29","330R","R_0402_1005Metric",-0.500000,28.160000,-90.000000,top
"R200","47","R_0402_1005Metric",6.250000,33.425000,180.000000,top
"R203","10k","R_0402_1005Metric",15.500000,24.750000,-90.000000,top
"R400","22","R_0402_1005Metric",22.000000,39.000000,0.000000,top
"R401","22","R_0402_1005Metric",20.500000,41.000000,0.000000,top
"R402","22","R_0402_1005Metric",18.500000,41.500000,90.000000,top
"R403","22","R_0402_1005Metric",21.500000,46.260000,90.000000,top
"R406","22","R_0402_1005Metric",8.128032,27.250000,90.000000,top
"R407","22","R_0402_1005Metric",10.500000,22.250000,90.000000,top
"SW1","SW_SPST","SW_SPST_B3U-3000P-B",18.250000,46.575000,0.000000,top
"U1","ld39150dt33-r","to-252-2_dpak-2-leg",4.000000,23.240000,90.000000,top
"U2","ICM-42688-P","PQFN50P300X250X97-14N",19.750000,20.835000,90.000000,top
"U4","AT24C256","SOIC-8_3.9x4.9mm_P1.27mm",4.000000,43.925000,0.000000,top
"U6","TJA1051T/3","sot96-1_soic-8",26.000000,31.500000,0.000000,top
"U200","STM32F405RGT6","LQFP-64_10x10mm_P0.5mm",14.000000,32.750000,0.000000,top
"Y200","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",3.250000,34.425000,-90.000000,top
